,Participant,Brand,Brand_First_Char,ResponseCode,Participant_Stimuli,Hbo_Op1,Hbo_Op2,Hbo_Op3,Hbo_Op4,Hbo_Op5,Hbo_Op6,Hbo_Op7,Hbo_Op8,Hbo_Op9,Hbo_Op10,Hbo_Op11,Hbo_Op12,Hbo_Op13,Hbo_Op14,Hbo_Op15,Hbo_Op16,Hbr_Op1,Hbr_Op2,Hbr_Op3,Hbr_Op4,Hbr_Op5,Hbr_Op6,Hbr_Op7,Hbr_Op8,Hbr_Op9,Hbr_Op10,Hbr_Op11,Hbr_Op12,Hbr_Op13,Hbr_Op14,Hbr_Op15,Hbr_Op16,Hbt_Op1,Hbt_Op2,Hbt_Op3,Hbt_Op4,Hbt_Op5,Hbt_Op6,Hbt_Op7,Hbt_Op8,Hbt_Op9,Hbt_Op10,Hbt_Op11,Hbt_Op12,Hbt_Op13,Hbt_Op14,Hbt_Op15,Hbt_Op16,Oxy_Op1,Oxy_Op2,Oxy_Op3,Oxy_Op4,Oxy_Op5,Oxy_Op6,Oxy_Op7,Oxy_Op8,Oxy_Op9,Oxy_Op10,Oxy_Op11,Oxy_Op12,Oxy_Op13,Oxy_Op14,Oxy_Op15,Oxy_Op16
0,3,N05,N,0,3_15,-0.262598018,-0.619926953,-0.248286034,-0.006671119,-0.017982981,-0.173565052,-0.04362224,-0.091076337,0.105359163,0.035528255,0.090229395,-0.072135026,-0.020178967,-0.006249005,0.005354732,-0.502158847,-0.036314677,-0.156911395,-0.055544393,-0.013735118,-0.022681962,-0.073754133,-0.117035432,-0.186348838,0.058815324,-0.019808714,-0.012379769,-0.035806826,0.015547361,-0.014798657,0.005811391,-0.011354385,-0.298912695,-0.776838349,-0.303830427,-0.020457599,-0.040664943,-0.247319185,-0.160657672,-0.277425175,0.164174488,0.015360568,0.077875381,-0.107955842,-0.004330743,-0.021130341,0.01132035,-0.513513232,-0.226283341,-0.463015558,-0.192741641,0.007128607,0.004698981,-0.099810918,0.073413192,0.095272501,0.046543839,0.05512222,0.102596137,-0.03630911,-0.035766445,0.00865675,-0.000562577,-0.490804462
16,3,N06,N,0,3_16,-0.395267024,0.001335398,-0.578758327,-0.006754662,-0.500374886,-0.545891619,-0.413575194,-0.285942254,-0.250313647,-0.310759367,-0.421307934,-0.491682256,-0.617227048,-0.378191523,-0.374472879,0.195486861,-0.056486566,-0.013986403,0.156221194,-0.013731458,0.173142757,-0.091138333,0.080089347,-0.162575612,0.071386313,-0.02449713,0.21869384,0.013795772,0.634045542,0.228571958,0.340712322,0.467229316,-0.45175359,-0.012878807,-0.422537134,-0.020469941,-0.32723213,-0.637029952,-0.333485848,-0.448517866,-0.178927334,-0.335256497,-0.202614094,-0.477886484,0.016818494,-0.149619565,-0.033760557,0.662716177,-0.338780458,0.015382559,-0.734979521,0.007086008,-0.673517643,-0.454753286,-0.493664541,-0.123366641,-0.32169996,-0.286262237,-0.640001774,-0.505478028,-1.25127259,-0.606763481,-0.715185201,-0.271742456
32,3,N07,N,0,3_17,-0.315036485,0.000858411,-0.277995871,-0.006722991,0.000567165,-0.004691967,-0.01495134,0.022558677,-0.056653712,-0.079255063,-0.048590822,-0.059823658,-0.020209204,-0.504903834,-0.615682561,-0.560209146,-0.048572852,-0.014396008,-0.016680576,-0.013744847,-0.01921557,-0.116572835,-0.080305101,-0.197313895,-0.053803994,-0.144595223,-0.023290538,-0.048917429,0.015564159,0.044756549,-0.0657833,-0.106351719,-0.363609337,-0.012945418,-0.294676447,-0.020466384,-0.018648405,-0.121264802,-0.095256441,-0.174755218,-0.110457706,-0.223850286,-0.071883089,-0.108741087,-0.004595927,-0.460147285,-0.681465861,-0.666560865,-0.266463633,0.015393431,-0.261315295,0.00716029,0.019782735,0.111880868,0.065353762,0.219872571,-0.002849718,0.06534016,-0.025290839,-0.010906229,-0.035855311,-0.549660383,-0.54989926,-0.453857427
48,3,N08,N,0,3_18,-0.313165611,-0.153457592,-0.214678661,-0.006711806,0.115661657,0.073967929,0.142529381,0.136461351,0.170167925,0.26452457,0.254309987,0.282380647,0.020572945,-0.21591959,-0.253083487,-0.350088667,0.155617818,-0.05644462,0.05632565,-0.013736238,-0.089856379,-0.054331798,-0.156295517,-0.236371472,-0.18543756,-0.351801892,-0.272071999,-0.24502789,-0.102131978,0.049588368,-0.144252025,-0.037301627,-0.157547792,-0.209902212,-0.158353011,-0.020428603,0.025805278,0.019636131,-0.013766136,-0.099910121,-0.015269635,-0.087277322,-0.017754064,0.037352757,-0.081495988,-0.166331222,-0.397335512,-0.387390294,-0.468783429,-0.097012972,-0.271004311,0.007125079,0.205518037,0.128299727,0.298824898,0.372832823,0.355605485,0.616326462,0.526356702,0.527408536,0.122733049,-0.265507959,-0.108831461,-0.31278704
64,3,N04,N,0,3_14,0.089332995,-0.01863587,0.058640616,-0.00661341,-0.003365081,0.009435332,0.013813117,0.007991988,0.021372913,0.114443366,9.48E-05,0.168022127,0.111024191,0.023231058,0.006433366,-0.073757497,0.120818813,0.06775726,0.049776172,-0.013728008,0.015163074,-0.012111165,0.019792226,0.010786177,0.077169932,0.028579749,0.011934407,0.038005444,-0.075427972,0.086241867,0.039701924,0.083583399,0.210151807,0.049121391,0.108416787,-0.020378921,0.011592724,-0.002756263,0.033462959,0.018778165,0.098542845,0.143023115,0.011998032,0.206027571,0.035596219,0.109472925,0.046135289,0.009825902,-0.031485818,-0.08639313,0.008864444,0.007191568,-0.018335741,0.021712185,-0.005888521,-0.002794189,-0.055797019,0.085863618,-0.011879525,0.130016684,0.186452163,-0.063010809,-0.033268558,-0.157340895
80,3,N03,N,0,3_13,-0.080929549,-0.021940513,-0.079879996,-0.006585187,0.090456495,0.00965325,0.013984227,0.030238069,0.13971773,0.139717971,0.000149139,0.201705951,-0.020205839,0.041468412,0.121579066,-0.076551694,0.092299282,-0.057473296,0.051689911,-0.013815519,-0.026942932,-0.012255558,0.019618074,-0.019864446,-0.101919433,-0.13665147,0.011873221,-0.119237555,0.015657859,-0.033034701,-0.154190561,-0.060744668,0.011369733,-0.079413809,-0.028190085,-0.020413962,0.063513563,-0.002706542,0.033680602,0.01038601,0.037798297,0.003066501,0.011923309,0.082468395,-0.004595003,0.008428924,-0.032611495,-0.137296363,-0.173228832,0.035532784,-0.131569907,0.007184169,0.117399427,0.021799948,-0.005732572,0.049995295,0.241637164,0.276369442,-0.011763592,0.320943506,-0.035870757,0.074549921,0.275769627,-0.015807026
96,3,R03,R,0,3_23,-0.269909133,-0.243146248,-0.193135233,-0.006691828,-0.00544966,0.009415609,-0.00321642,0.01951995,-0.050955829,-0.100908559,-0.093406363,-0.211100512,-0.020204444,-0.006218573,0.005525417,-0.004702618,0.083957378,-0.104632514,-0.017899995,-0.013720751,-0.069466339,-0.012177869,-0.043903067,-0.139293421,-0.081614127,-0.252772035,-0.120399338,-0.191314886,0.015650869,-0.014961374,0.005961065,-0.021244437,-0.185951756,-0.347778762,-0.211035229,-0.020423049,-0.074915999,-0.002770508,-0.047119487,-0.119783514,-0.132569956,-0.353680594,-0.213805701,-0.402415398,-0.004591476,-0.021099611,0.011364006,-0.026175631,-0.353866511,-0.138513735,-0.175235238,0.007153648,0.064016678,0.021809964,0.040686648,0.15883622,0.030658298,0.151863476,0.026992976,-0.019785626,-0.0358686,0.008717973,-0.000443957,0.016688
112,4,N01,N,0,4_11,0.054176423,0.208343758,0.016266625,0.181577034,-0.067605356,-0.010488627,0.067542529,0.022777203,0.179471583,0.026674939,-0.048826645,0.13717675,-0.104198566,-0.011276066,0.021030058,0.246157162,0.174839521,-0.072501388,0.026461627,-0.119850974,0.193687812,0.139712552,0.147427128,0.084642135,0.137592507,-0.06220095,0.157226804,-0.020209488,0.206027956,0.092655403,0.202152499,0.101466162,0.229015945,0.13584237,0.042728252,0.06172606,0.126082456,0.129223925,0.214969656,0.107419338,0.31706409,-0.035526011,0.10840016,0.116967263,0.101914548,0.081377513,0.223172579,0.347623324,-0.120663098,0.280845146,-0.010195002,0.301428007,-0.261293169,-0.150201179,-0.079884599,-0.061864933,0.041879076,0.088875889,-0.206053449,0.157386238,-0.310213026,-0.103902328,-0.181116313,0.144691
128,4,N03,N,0,4_13,-0.427775319,-0.230239275,-0.022682002,-0.168629532,-0.003893145,-0.132081271,0.013738963,-0.364237779,0.01535962,-0.347103396,-0.079763871,-0.015995336,-0.02020121,-0.006259723,-0.209629611,-0.004840011,-0.179376539,-0.24538698,0.014766724,-0.386789285,0.014706695,-0.274482156,0.01894995,-0.43613067,0.015919413,-0.012396081,-0.131922853,0.32957538,0.015686229,-0.014843038,0.297201339,-0.021069008,-0.607151858,-0.475626255,-0.007545764,-0.555418817,0.011433634,-0.406563428,0.03303,-0.800368449,0.031500989,-0.359499477,-0.211686725,0.313580045,-0.004615266,-0.021177658,0.087571728,-0.026530085,-0.24839878,0.015147705,-0.037231001,0.218159753,-0.018218651,0.142400885,-0.00531768,0.071892891,-0.000632869,-0.334707315,0.052158982,-0.345570716,-0.035896791,0.008629313,-0.50683095,0.016579305
137,4,N08,N,0,4_18,-0.097365504,0.086087139,-0.118293797,0.2634012,0.015968229,0.188674148,-0.033204971,0.092779257,-0.080895326,-0.002272296,-0.103769704,0.000677412,-0.020258224,-0.006133894,0.008734581,0.277287075,0.014659858,-0.198764704,-0.088076715,-0.331495031,-0.038890518,-0.151165016,-0.016825617,-0.084923896,0.155082563,-0.033371552,0.156726972,0.085015303,0.015592828,-0.014772347,0.095636025,-0.070513288,-0.082705646,-0.112677565,-0.206370512,-0.068093831,-0.022922289,0.037509132,-0.050030588,0.007855361,0.07416533,-0.035587669,0.052935733,0.085669845,-0.004430682,-0.021002308,0.104370606,0.206773787,-0.112025361,0.284851843,-0.030217081,0.594896231,0.054858747,0.339839163,-0.016379353,0.177703153,-0.235885613,0.031100787,-0.260468895,-0.084358548,-0.035813644,0.008772355,-0.086901444,0.347800363
153,4,N06,N,0,4_16,-0.246042218,0.171599214,-0.025358884,-0.269487604,-0.403610576,-0.08073476,-0.357405545,0.027457303,0.008906051,-0.293881439,-0.002541724,0.035094513,0.083062784,-0.571991849,-0.139595435,-0.506822806,-0.320667986,-0.063650298,0.016722193,-0.475662865,-0.50382347,-0.277489502,-0.58910012,-0.017245993,0.00859319,-0.364029548,0.007981127,-0.218543221,0.144644323,-0.679837699,-0.006433958,-0.52619024,-0.566710204,0.107948916,-0.020151532,-0.72974005,-0.89840931,-0.358224262,-0.935578023,0.010806545,0.033670331,-0.657910987,0.012552796,-0.183448708,0.227707107,-1.251829548,-0.146029393,-1.034291829,0.074625769,0.235249512,-0.040545237,0.208717122,0.105348654,0.196754742,0.243812223,0.051381579,0.000815442,0.070148109,-0.011328294,0.253637734,-0.061581539,0.10784585,-0.133161476,0.013756332
